MUNICIPIO,TOTAL_AREA,COD_MUNICIPIO,MESO,MICRO,LAT,LONG
JOÃO PINHEIRO,12705.859,3136306,Noroeste,PARACATU,-17.742777,-46.175278
PRESIDENTE OLEGÁRIO,1886.9769999999999,3153400,Noroeste,PARACATU,-18.415,-46.419723
SÃO GONÇALO DO ABAETÉ,17.096,3161700,Noroeste,PARACATU,-18.3420302,-45.834112
ARAPORÃ,13986.977,3103751,Triângulo Mineiro e Alto Paranaíba,UBERLÂNDIA,-18.4318188,-49.188313
VARJÃO DE MINAS,1116.74,3170750,Noroeste,PARACATU,-18.3791473,-46.030627
TUPACIGUARA,12022.461,3169604,Triângulo Mineiro e Alto Paranaíba,UBERLÂNDIA,-18.5932122,-48.6999014
PATOS DE MINAS,254.412,3148004,Triângulo Mineiro e Alto Paranaíba,PATOS DE MINAS,-18.6041453,-46.5096698
CENTRALINA,2457.5249999999996,3115805,Triângulo Mineiro e Alto Paranaíba,UBERLÂNDIA,-18.5843349,-49.1954739
MONTE ALEGRE DE MINAS,16939.855,3142809,Triângulo Mineiro e Alto Paranaíba,UBERLÂNDIA,-18.870278,-48.880556
CANÁPOLIS,10968.846,3111804,Triângulo Mineiro e Alto Paranaíba,UBERLÂNDIA,-18.7228793,-49.2016329
IPIAÇU,3922.551,3131406,Triângulo Mineiro e Alto Paranaíba,ITUIUTABA,-18.6934499,-49.9439567
CAPINÓPOLIS,7852.961,3112604,Triângulo Mineiro e Alto Paranaíba,ITUIUTABA,-18.682778,-49.569723
SANTA VITÓRIA,32584.432,3159803,Triângulo Mineiro e Alto Paranaíba,ITUIUTABA,-18.8465718,-50.1292823
ITUIUTABA,23853.134000000002,3134202,Triângulo Mineiro e Alto Paranaíba,ITUIUTABA,-18.9691887,-49.4639335
UBERLÂNDIA,17162.4,3170206,Triângulo Mineiro e Alto Paranaíba,UBERLÂNDIA,-18.9188041,-48.2767837
GURINHATÃ,10604.566,3129103,Triângulo Mineiro e Alto Paranaíba,ITUIUTABA,-19.2114486,-49.7840077
POMPÉU,9644.544,3152006,Central Mineira,TRÊS MARIAS,-19.218611,-45.002778
UBERABA,98926.208,3170107,Triângulo Mineiro e Alto Paranaíba,UBERABA,-19.750833,-47.936666
ABAETÉ,9.303,3100203,Central Mineira,TRÊS MARIAS,-19.1566833,-45.4481213
