INDEX,AREA,X,Y,COD_MUNICIPIO,MUNICIPIO,MESO,MICRO
0,4.183,1386718.7013675808,1459423.1494725957,3136306,JOÃO PINHEIRO,Noroeste,PARACATU
1,3.841,1386195.2397583798,1459130.1369500854,3136306,JOÃO PINHEIRO,Noroeste,PARACATU
2,35.167,1387912.6450543187,1459225.5564685317,3136306,JOÃO PINHEIRO,Noroeste,PARACATU
3,133.503,1388813.543187815,1459545.8486882155,3136306,JOÃO PINHEIRO,Noroeste,PARACATU
4,3.243,1385888.8943024985,1458668.567063827,3136306,JOÃO PINHEIRO,Noroeste,PARACATU
5,20.656,1387650.8697027836,1458615.1991345831,3136306,JOÃO PINHEIRO,Noroeste,PARACATU
6,10.413,1388083.8557486804,1458317.5257277102,3136306,JOÃO PINHEIRO,Noroeste,PARACATU
7,24.838,1386852.7318834055,1458627.2125157497,3136306,JOÃO PINHEIRO,Noroeste,PARACATU
8,37.726,1387370.9405321034,1458035.9746253856,3136306,JOÃO PINHEIRO,Noroeste,PARACATU
9,3.329,1383282.8676809487,1457881.5730553707,3136306,JOÃO PINHEIRO,Noroeste,PARACATU
10,68.965,1382721.1910868601,1458391.937005791,3136306,JOÃO PINHEIRO,Noroeste,PARACATU
11,7.511,1382124.9750643896,1457997.6997621418,3136306,JOÃO PINHEIRO,Noroeste,PARACATU
12,3.585,1387138.6052285596,1457354.5098062723,3136306,JOÃO PINHEIRO,Noroeste,PARACATU
13,6.401,1383041.2023488004,1457820.7051939662,3136306,JOÃO PINHEIRO,Noroeste,PARACATU
14,3.755,1383569.461264257,1457406.5536314256,3136306,JOÃO PINHEIRO,Noroeste,PARACATU
15,11.01,1382890.0274929123,1457432.0038737345,3136306,JOÃO PINHEIRO,Noroeste,PARACATU
16,9.815,1387615.222647686,1456967.1094168785,3136306,JOÃO PINHEIRO,Noroeste,PARACATU
17,3.499,1386784.376798795,1456945.5925370126,3136306,JOÃO PINHEIRO,Noroeste,PARACATU
18,3.755,1418274.9714225822,1453802.4745058552,3136306,JOÃO PINHEIRO,Noroeste,PARACATU
19,178.129,1385065.1060577496,1457998.8283738482,3136306,JOÃO PINHEIRO,Noroeste,PARACATU
20,3.329,1383413.3584043204,1457117.9761160186,3136306,JOÃO PINHEIRO,Noroeste,PARACATU
21,12.973,1387322.565145645,1456711.81219194,3136306,JOÃO PINHEIRO,Noroeste,PARACATU
22,34.907,1383894.5660887284,1456857.6104368602,3136306,JOÃO PINHEIRO,Noroeste,PARACATU
23,4.438,1418260.6212904518,1452971.887434032,3136306,JOÃO PINHEIRO,Noroeste,PARACATU
24,60.51,1386905.3421181017,1456373.7369983413,3136306,JOÃO PINHEIRO,Noroeste,PARACATU
25,17.069,1387524.8666492174,1455823.636213135,3136306,JOÃO PINHEIRO,Noroeste,PARACATU
26,9.9,1387197.5484537496,1455480.634043221,3136306,JOÃO PINHEIRO,Noroeste,PARACATU
27,3.499,1386324.3410102276,1455019.871909019,3136306,JOÃO PINHEIRO,Noroeste,PARACATU
28,356.053,1385505.247574624,1456090.5859948108,3136306,JOÃO PINHEIRO,Noroeste,PARACATU
29,61.529,1384615.9692387609,1454877.187265401,3136306,JOÃO PINHEIRO,Noroeste,PARACATU
30,4.864,1388268.3360292458,1453939.6922241151,3136306,JOÃO PINHEIRO,Noroeste,PARACATU
31,24.832,1384108.8652603563,1454011.7271718853,3136306,JOÃO PINHEIRO,Noroeste,PARACATU
32,47.617,1385698.8830308944,1454124.255252115,3136306,JOÃO PINHEIRO,Noroeste,PARACATU
33,5.803,1384979.615049337,1453650.8352639682,3136306,JOÃO PINHEIRO,Noroeste,PARACATU
