INDEX,AREA,X,Y,COD_MUNICIPIO,MUNICIPIO,MESO,MICRO
1,4.75,-43.817,-15.057,3140852,Matias Cardoso,Montes Claros,Janaúba
2,0.52,-43.92,-15.075,3140852,Matias Cardoso,Montes Claros,Janaúba
3,0.35,-43.919,-15.076,3140852,Matias Cardoso,Montes Claros,Janaúba
4,0.35,-43.908,-15.082,3140852,Matias Cardoso,Montes Claros,Janaúba
5,0.26,-43.909,-15.083,3140852,Matias Cardoso,Montes Claros,Janaúba
6,94.0,-43.911,-15.079,3140852,Matias Cardoso,Montes Claros,Janaúba
7,0.26,-43.931,-15.084,3135050,Jaíba,Montes Claros,Janaúba
8,48.44,-43.935,-15.082,3135050,Jaíba,Montes Claros,Janaúba
9,48.85,-43.933,-15.077,3140852,Matias Cardoso,Montes Claros,Janaúba
10,91.03,-43.957,-15.079,3135050,Jaíba,Montes Claros,Janaúba
11,20.33,-43.923,-15.083,3135050,Jaíba,Montes Claros,Janaúba
12,71.42,-43.923,-15.079,3140852,Matias Cardoso,Montes Claros,Janaúba
13,84.4,-43.947,-15.081,3135050,Jaíba,Montes Claros,Janaúba
14,10.99,-43.945,-15.076,3140852,Matias Cardoso,Montes Claros,Janaúba
15,0.6,-43.943,-15.085,3135050,Jaíba,Montes Claros,Janaúba
16,0.35,-43.957,-15.087,3135050,Jaíba,Montes Claros,Janaúba
17,2.68,-43.915,-15.089,3135050,Jaíba,Montes Claros,Janaúba
18,1.47,-43.919,-15.089,3135050,Jaíba,Montes Claros,Janaúba
19,0.86,-43.918,-15.09,3135050,Jaíba,Montes Claros,Janaúba
20,0.6,-43.944,-15.09,3135050,Jaíba,Montes Claros,Janaúba
21,0.78,-43.917,-15.091,3135050,Jaíba,Montes Claros,Janaúba
22,3.37,-43.921,-15.09,3135050,Jaíba,Montes Claros,Janaúba
23,0.43,-43.922,-15.093,3135050,Jaíba,Montes Claros,Janaúba
24,89.24,-43.94,-15.089,3135050,Jaíba,Montes Claros,Janaúba
25,10.19,-43.919,-15.093,3135050,Jaíba,Montes Claros,Janaúba
26,14.17,-43.913,-15.091,3135050,Jaíba,Montes Claros,Janaúba
27,118.45,-43.929,-15.09,3135050,Jaíba,Montes Claros,Janaúba
28,0.69,-43.918,-15.095,3135050,Jaíba,Montes Claros,Janaúba
29,1.81,-43.92,-15.095,3135050,Jaíba,Montes Claros,Janaúba
30,2.42,-43.916,-15.095,3135050,Jaíba,Montes Claros,Janaúba
31,3.89,-43.918,-15.096,3135050,Jaíba,Montes Claros,Janaúba
32,1.21,-43.932,-15.098,3135050,Jaíba,Montes Claros,Janaúba
33,84.58,-43.936,-15.099,3135050,Jaíba,Montes Claros,Janaúba
34,217.79,-43.949,-15.095,3135050,Jaíba,Montes Claros,Janaúba
35,0.26,-43.878,-15.133,3135050,Jaíba,Montes Claros,Janaúba
36,0.43,-43.906,-15.133,3135050,Jaíba,Montes Claros,Janaúba
37,0.95,-43.878,-15.134,3135050,Jaíba,Montes Claros,Janaúba
38,0.26,-43.857,-15.135,3135050,Jaíba,Montes Claros,Janaúba
39,89.23,-43.852,-15.132,3135050,Jaíba,Montes Claros,Janaúba
40,0.6,-43.896,-15.14,3135050,Jaíba,Montes Claros,Janaúba
41,247.04,-43.897,-15.131,3135050,Jaíba,Montes Claros,Janaúba
42,58.56,-43.845,-15.139,3135050,Jaíba,Montes Claros,Janaúba
43,213.09,-43.868,-15.134,3135050,Jaíba,Montes Claros,Janaúba
44,1.73,-43.889,-15.145,3135050,Jaíba,Montes Claros,Janaúba
45,0.52,-43.894,-15.146,3135050,Jaíba,Montes Claros,Janaúba
46,276.75,-43.882,-15.134,3135050,Jaíba,Montes Claros,Janaúba
47,2.68,-43.9,-15.148,3135050,Jaíba,Montes Claros,Janaúba
48,101.14,-43.88,-15.145,3135050,Jaíba,Montes Claros,Janaúba
49,150.2,-43.911,-15.144,3135050,Jaíba,Montes Claros,Janaúba
50,0.6,-43.842,-15.154,3135050,Jaíba,Montes Claros,Janaúba
51,184.92,-43.865,-15.145,3135050,Jaíba,Montes Claros,Janaúba
52,98.29,-43.899,-15.151,3135050,Jaíba,Montes Claros,Janaúba
53,104.85,-43.888,-15.154,3135050,Jaíba,Montes Claros,Janaúba
54,62.79,-43.877,-15.157,3135050,Jaíba,Montes Claros,Janaúba
55,0.86,-43.885,-15.16,3135050,Jaíba,Montes Claros,Janaúba
56,0.52,-43.874,-15.161,3135050,Jaíba,Montes Claros,Janaúba
57,392.89,-43.852,-15.151,3135050,Jaíba,Montes Claros,Janaúba
58,1.38,-43.861,-15.161,3135050,Jaíba,Montes Claros,Janaúba
59,48.02,-43.786,-15.159,3135050,Jaíba,Montes Claros,Janaúba
60,0.52,-43.888,-15.166,3135050,Jaíba,Montes Claros,Janaúba
61,26.0,-43.836,-15.164,3135050,Jaíba,Montes Claros,Janaúba
62,84.64,-43.896,-15.161,3135050,Jaíba,Montes Claros,Janaúba
63,54.15,-43.883,-15.163,3135050,Jaíba,Montes Claros,Janaúba
64,3.02,-43.89,-15.166,3135050,Jaíba,Montes Claros,Janaúba
65,1.99,-43.892,-15.168,3135050,Jaíba,Montes Claros,Janaúba
66,1.12,-43.891,-15.169,3135050,Jaíba,Montes Claros,Janaúba
67,7.6,-43.887,-15.169,3135050,Jaíba,Montes Claros,Janaúba
68,4.06,-43.932,-15.171,3135050,Jaíba,Montes Claros,Janaúba
69,0.6,-43.86,-15.172,3135050,Jaíba,Montes Claros,Janaúba
70,0.52,-43.861,-15.172,3135050,Jaíba,Montes Claros,Janaúba
71,14.25,-43.891,-15.171,3135050,Jaíba,Montes Claros,Janaúba
72,128.51,-43.874,-15.167,3135050,Jaíba,Montes Claros,Janaúba
73,0.26,-43.921,-15.175,3135050,Jaíba,Montes Claros,Janaúba
74,1.38,-43.928,-15.174,3135050,Jaíba,Montes Claros,Janaúba
75,0.86,-43.918,-15.177,3135050,Jaíba,Montes Claros,Janaúba
76,200.62,-43.913,-15.167,3135050,Jaíba,Montes Claros,Janaúba
77,0.43,-43.818,-15.178,3135050,Jaíba,Montes Claros,Janaúba
78,0.43,-43.899,-15.178,3135050,Jaíba,Montes Claros,Janaúba
79,116.5,-43.905,-15.172,3135050,Jaíba,Montes Claros,Janaúba
80,56.13,-43.896,-15.175,3135050,Jaíba,Montes Claros,Janaúba
81,1.21,-43.867,-15.178,3135050,Jaíba,Montes Claros,Janaúba
82,51.82,-43.932,-15.176,3135050,Jaíba,Montes Claros,Janaúba
83,0.6,-43.924,-15.179,3135050,Jaíba,Montes Claros,Janaúba
84,0.35,-43.924,-15.18,3135050,Jaíba,Montes Claros,Janaúba
85,0.43,-43.923,-15.181,3135050,Jaíba,Montes Claros,Janaúba
86,142.24,-43.868,-15.173,3135050,Jaíba,Montes Claros,Janaúba
87,262.71,-43.795,-15.174,3135050,Jaíba,Montes Claros,Janaúba
88,59.24,-43.915,-15.181,3135050,Jaíba,Montes Claros,Janaúba
89,0.35,-43.925,-15.185,3135050,Jaíba,Montes Claros,Janaúba
90,2.07,-43.811,-15.186,3135050,Jaíba,Montes Claros,Janaúba
91,17.44,-43.834,-15.186,3135050,Jaíba,Montes Claros,Janaúba
92,46.55,-43.806,-15.185,3135050,Jaíba,Montes Claros,Janaúba
93,0.95,-43.884,-15.189,3135050,Jaíba,Montes Claros,Janaúba
94,138.0,-43.906,-15.184,3135050,Jaíba,Montes Claros,Janaúba
95,0.43,-43.906,-15.191,3135050,Jaíba,Montes Claros,Janaúba
96,1.55,-43.929,-15.191,3135050,Jaíba,Montes Claros,Janaúba
97,68.31,-43.896,-15.188,3135050,Jaíba,Montes Claros,Janaúba
98,262.26,-43.822,-15.188,3135050,Jaíba,Montes Claros,Janaúba
99,447.41,-43.88,-15.186,3135050,Jaíba,Montes Claros,Janaúba
100,50.34,-43.834,-15.2,3135050,Jaíba,Montes Claros,Janaúba
101,0.6,-43.937,-15.204,3135050,Jaíba,Montes Claros,Janaúba
102,46.46,-43.868,-15.2,3135050,Jaíba,Montes Claros,Janaúba
103,254.22,-43.945,-15.195,3135050,Jaíba,Montes Claros,Janaúba
104,0.52,-43.95,-15.21,3135050,Jaíba,Montes Claros,Janaúba
105,0.69,-43.871,-15.212,3135050,Jaíba,Montes Claros,Janaúba
106,298.86,-43.937,-15.197,3135050,Jaíba,Montes Claros,Janaúba
107,101.02,-43.877,-15.211,3135050,Jaíba,Montes Claros,Janaúba
108,20.72,-43.957,-15.215,3135050,Jaíba,Montes Claros,Janaúba
109,0.35,-43.861,-15.217,3135050,Jaíba,Montes Claros,Janaúba
