MUNICIPIO,TOTAL_AREA,COD_MUNICIPIO,MESO,MICRO
MATIAS CARDOSO,447.67185732421876,3140852,Norte,JANUÁRIA
JAÍBA,7195.943339892578,3135050,Norte,JANAÚBA
UNAÍ,2858.0947677001955,3170404,Noroeste,UNAÍ
DOM BOSCO,1.799960449218751,3122470,Noroeste,UNAÍ
IBIAÍ,8.13531440429688,3129608,Norte,PIRAPORA
PONTO CHIQUE,11.133006079101563,3152131,Norte,MONTES CLAROS
LAGOA DOS PATOS,3.421241064453125,3137304,Norte,PIRAPORA
PARACATU,9884.822056347657,3147006,Noroeste,PARACATU
CLARO DOS POÇÕES,0.598763916015625,3116506,Norte,MONTES CLAROS
JOÃO PINHEIRO,17306.732148999025,3136306,Noroeste,PARACATU
BRASILÂNDIA DE MINAS,1505.0392234375,3108552,Noroeste,PARACATU
JEQUITAÍ,1.624331494140625,3135605,Norte,PIRAPORA
PIRAPORA,1.879360180664063,3151206,Norte,PIRAPORA
VÁRZEA DA PALMA,1.7904122070312498,3170800,Norte,PIRAPORA
LAGOA GRANDE,1.703564990234375,3137536,Noroeste,PARACATU
NANUQUE,20.813578027343752,3144300,Vale do Mucuri,NANUQUE
SERRA DOS AIMORÉS,4.541601806640625,3166709,Vale do Mucuri,NANUQUE
LAGAMAR,9.948625854492187,3137106,Noroeste,PARACATU
SÃO GONÇALO DO ABAETÉ,0.425086108398438,3161700,Noroeste,PARACATU
PRESIDENTE OLEGÁRIO,2184.502929638672,3153400,Noroeste,PARACATU
ARAGUARI,43.95691540527344,3103504,Triângulo Mineiro e Alto Paranaíba,UBERLÂNDIA
ARAPORÃ,14853.19751717224,3103751,Triângulo Mineiro e Alto Paranaíba,UBERLÂNDIA
TUPACIGUARA,10663.475754620362,3169604,Triângulo Mineiro e Alto Paranaíba,UBERLÂNDIA
ABADIA DOS DOURADOS,0.76493974609375,3100104,Triângulo Mineiro e Alto Paranaíba,PATROCÍNIO
VARJÃO DE MINAS,1742.1615603027344,3170750,Noroeste,PARACATU
PATOS DE MINAS,455.51427397460935,3148004,Triângulo Mineiro e Alto Paranaíba,PATOS DE MINAS
CENTRALINA,5401.430413110352,3115805,Triângulo Mineiro e Alto Paranaíba,UBERLÂNDIA
MONTE ALEGRE DE MINAS,10949.556577944946,3142809,Triângulo Mineiro e Alto Paranaíba,UBERLÂNDIA
CAPINÓPOLIS,4107.187650119781,3112604,Triângulo Mineiro e Alto Paranaíba,ITUIUTABA
