MUNICIPIO,TOTAL_AREA,COD_MUNICIPIO,MESO,MICRO
ABADIA DOS DOURADOS,0.76493974609375,3100104.0,Triângulo Mineiro e Alto Paranaíba,PATROCÍNIO
ABAETÉ,2.873057543945314,3100203.0,Central Mineira,TRÊS MARIAS
ALFENAS,2877.830102050781,3101607.0,Sul/Sudoeste,ALFENAS
ALPINÓPOLIS,264.8718543457031,3101904.0,Sul/Sudoeste,PASSOS
ALTEROSA,198.15624702148438,3102001.0,Sul/Sudoeste,ALFENAS
ARAGUARI,42.94082252197266,3103504.0,Triângulo Mineiro e Alto Paranaíba,UBERLÂNDIA
ARAPORÃ,10976.006666165162,3103751.0,Triângulo Mineiro e Alto Paranaíba,UBERLÂNDIA
ARAXÁ,2207.0934911987306,3104007.0,Triângulo Mineiro e Alto Paranaíba,ARAXÁ
ARCEBURGO,850.8784033691406,3104106.0,Sul/Sudoeste,SÃO SEBASTIÃO DO PARAÍSO
ARCOS,579.1479113769532,3104205.0,Oeste,FORMIGA
AREADO,1351.7908892822265,3104304.0,Sul/Sudoeste,ALFENAS
BAMBUÍ,4568.476768994141,3105103.0,Oeste,PIUÍ
BOM DESPACHO,746.7916075195312,3107406.0,Central Mineira,BOM DESPACHO
BOM REPOUSO,1.075742114257813,3107901.0,Sul/Sudoeste,POUSO ALEGRE
BRASILÂNDIA DE MINAS,1662.0426112060547,3108552.0,Noroeste,PARACATU
BUENO BRANDÃO,4.7163230712890645,3109105.0,Sul/Sudoeste,POUSO ALEGRE
CABO VERDE,173.73451752929688,3109501.0,Sul/Sudoeste,SÃO SEBASTIÃO DO PARAÍSO
CACHOEIRA DOURADA,2.556983340454102,3109808.0,Triângulo Mineiro e Alto Paranaíba,ITUIUTABA
CAMACHO,1.088918701171875,3110400.0,Oeste,FORMIGA
CAMBUÍ,0.661408984375,3110608.0,Sul/Sudoeste,POUSO ALEGRE
CAMPESTRE,2.9961394042968763,3111002.0,Sul/Sudoeste,POÇOS DE CALDAS
CAMPINA VERDE,11098.56957890718,3111101.0,Triângulo Mineiro e Alto Paranaíba,FRUTAL
CAMPO DO MEIO,2.3377004394531262,3111309.0,Sul/Sudoeste,VARGINHA
CAMPO FLORIDO,42906.92654143677,3111408.0,Triângulo Mineiro e Alto Paranaíba,UBERABA
