INDEX,AREA,X,Y,COD_MUNICIPIO,MUNICIPIO,MESO,MICRO
1,0.6,1388142.905,1460128.908,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
2,0.77,1388276.303,1459933.39,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
3,0.51,1386196.88,1459826.247,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
4,0.94,1386704.947,1459710.446,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
5,0.51,1384491.272,1459877.881,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
6,2.56,1384644.181,1459888.745,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
7,0.09,1384703.64,1459757.117,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
8,1.88,1384744.279,1459649.161,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
9,4.18,1386718.701,1459423.149,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
10,0.6,1386115.804,1459403.089,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
11,1.88,1384956.732,1459473.783,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
12,0.6,1385985.441,1459231.925,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
13,1.62,1385134.214,1459328.354,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
14,0.51,1384961.254,1459255.373,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
15,3.84,1386195.24,1459130.137,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
16,0.51,1385056.795,1459203.174,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
17,35.17,1387912.645,1459225.556,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
18,2.05,1384221.617,1459162.888,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
19,0.51,1387305.43,1458717.19,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
20,133.5,1388813.543,1459545.849,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
21,0.85,1388490.074,1458427.18,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
22,3.24,1385888.894,1458668.567,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
23,0.68,1388503.745,1458307.153,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
24,0.94,1385694.308,1458529.668,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
25,20.66,1387650.87,1458615.199,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
26,10.41,1388083.856,1458317.526,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
27,0.77,1385310.07,1458531.836,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
28,24.84,1386852.732,1458627.213,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
29,1.02,1382116.402,1458595.324,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
30,0.09,1382007.842,1458560.586,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
31,2.05,1381967.429,1458485.863,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
32,2.48,1382331.111,1458430.567,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
33,2.3,1388551.96,1457831.332,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
34,0.43,1382147.342,1458358.281,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
35,0.77,1383531.302,1458174.213,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
36,1.45,1383277.439,1458171.416,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
37,0.6,1386534.508,1457826.047,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
38,0.43,1381732.93,1458272.692,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
39,37.73,1387370.941,1458035.975,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
40,0.51,1386612.069,1457750.394,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
41,2.39,1385912.755,1457841.678,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
42,0.6,1383175.025,1458026.358,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
43,1.62,1383401.418,1458039.83,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
44,1.96,1386791.598,1457662.433,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
45,3.33,1383282.868,1457881.573,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
46,2.22,1386943.466,1457505.061,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
47,0.09,1387269.364,1457362.19,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
48,68.96,1382721.191,1458391.937,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
49,1.28,1387506.222,1457352.441,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
50,7.51,1382124.975,1457997.7,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
51,0.17,1384882.74,1457508.885,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
52,0.26,1382955.555,1457677.262,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
53,3.58,1387138.605,1457354.51,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
54,0.68,1382407.508,1457731.711,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
55,0.26,1384909.856,1457458.58,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
56,6.4,1383041.202,1457820.705,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
57,1.28,1387324.381,1457194.759,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
58,0.85,1384267.073,1457357.16,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
59,1.37,1384869.297,1457247.436,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
60,3.76,1383569.461,1457406.554,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
61,11.01,1382890.027,1457432.004,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
62,9.82,1387615.223,1456967.109,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
63,3.5,1386784.377,1456945.593,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
64,0.51,1388080.648,1456677.698,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
65,178.13,1385065.106,1457998.828,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
66,3.33,1383413.358,1457117.976,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
67,12.97,1387322.565,1456711.812,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
68,1.11,1387780.69,1456199.131,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
69,34.91,1383894.566,1456857.61,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
70,60.51,1386905.342,1456373.737,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
71,17.07,1387524.867,1455823.636,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
72,2.56,1386883.089,1455538.971,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
73,9.9,1387197.548,1455480.634,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
74,0.68,1440427.647,1449729.366,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
75,3.5,1386324.341,1455019.872,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
76,356.05,1385505.248,1456090.586,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
77,0.94,1388076.472,1454129.734,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
78,1.28,1384992.37,1454398.102,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
79,0.68,1387871.507,1453971.641,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
80,61.53,1384615.969,1454877.187,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
81,1.19,1385399.052,1454116.643,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
82,4.86,1388268.336,1453939.692,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
83,0.26,1388718.662,1453750.735,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
84,0.51,1388479.688,1453597.705,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
85,0.51,1388760.022,1453565.573,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
86,2.65,1385374.165,1453952.618,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
87,0.17,1388665.756,1453536.644,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
88,0.77,1388597.261,1453568.752,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
89,0.68,1385279.84,1453838.187,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
90,24.83,1384108.865,1454011.727,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
91,47.62,1385698.883,1454124.255,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
92,5.8,1384979.615,1453650.835,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
93,1.54,1384045.778,1453481.686,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
94,0.6,1383737.119,1453126.332,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
95,1.54,1384861.244,1452951.113,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
96,0.43,1385093.021,1452821.145,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
97,2.3,1384635.575,1452876.698,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
98,12.88,1383463.037,1453181.131,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
99,0.26,1383351.705,1452910.532,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
100,1.54,1385220.837,1452715.916,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
101,0.85,1383591.572,1452838.587,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
102,1.79,1405131.967,1449492.495,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
103,0.94,1403173.102,1444240.208,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
104,0.6,1402876.404,1442904.614,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
105,0.51,1402624.808,1442915.145,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
106,5.54,1424880.381,1432733.285,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
107,0.85,1425232.188,1431988.983,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
108,0.85,1425128.829,1431942.159,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
109,0.77,1415765.0,1427649.304,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
110,8.78,1417510.893,1426946.855,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
111,1.45,1417183.371,1426712.608,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
112,0.6,1419567.625,1426405.455,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
113,3.41,1419159.237,1426422.693,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
114,1.28,1412063.013,1426991.797,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
115,0.26,1419271.081,1426244.478,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
116,0.51,1419357.712,1426197.692,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
117,5.11,1412503.93,1426945.079,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
118,2.3,1417624.906,1426411.064,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
119,0.6,1411609.125,1426884.44,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
120,0.6,1413482.441,1426677.64,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
121,0.6,1417259.336,1426292.947,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
122,48.84,1418655.878,1426623.491,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
123,0.51,1411616.769,1426764.547,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
124,0.68,1412077.487,1426680.61,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
125,0.68,1417299.003,1426131.725,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
126,0.77,1411591.536,1426663.807,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
127,1.62,1415042.29,1426303.408,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
128,1.02,1416442.468,1426171.935,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
129,3.32,1414717.329,1426338.996,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
130,2.3,1416256.832,1426131.415,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
131,13.72,1418059.016,1426054.857,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
132,0.6,1414952.172,1426151.369,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
133,10.74,1418717.677,1425869.072,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
134,19.52,1416838.749,1426160.372,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
135,6.9,1411847.99,1426498.525,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
136,3.15,1417484.74,1425891.779,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
137,22.07,1425814.84,1425424.694,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
138,1.96,1414814.278,1425998.529,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
139,2.81,1415587.327,1425903.5,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
140,8.1,1414570.245,1426053.991,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
141,0.68,1413911.589,1425947.673,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
142,0.51,1414073.519,1425900.57,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
143,1.79,1414943.388,1425814.581,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
144,0.68,1416653.319,1425631.461,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
145,13.64,1425982.039,1424923.908,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
146,1.53,1417325.564,1425536.564,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
147,0.94,1414494.262,1425729.124,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
148,2.22,1425080.657,1424719.253,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
149,2.9,1415510.587,1425651.679,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
150,3.58,1415806.736,1425565.122,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
151,5.37,1414775.252,1425654.338,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
152,4.52,1415189.209,1425584.486,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
153,0.68,1416691.385,1425395.347,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
154,2.39,1417238.03,1425373.973,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
155,13.55,1416303.82,1425548.86,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
156,0.68,1415840.431,1425376.592,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
157,1.02,1416102.966,1425331.345,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
158,0.68,1425397.912,1424366.539,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
159,3.49,1416934.068,1425305.138,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
160,47.39,1426363.127,1424972.975,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
161,1.62,1425491.509,1424245.209,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
162,1.19,1425085.377,1424259.543,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
163,54.88,1412637.829,1426093.704,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
164,1.45,1412392.325,1425345.002,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
165,91.27,1413365.147,1425672.098,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
166,2.39,1412822.125,1425065.634,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
167,29.74,1414899.181,1425147.976,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
168,17.39,1412735.717,1425294.717,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
169,6.9,1412282.008,1425133.787,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
170,1.79,1413041.495,1424868.508,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
171,0.77,1422981.058,1423842.944,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
172,2.56,1417279.634,1424433.348,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
173,111.64,1418216.265,1424860.553,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
174,0.51,1422702.343,1423627.838,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
175,60.59,1414365.372,1424955.375,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
176,6.22,1423079.053,1423572.515,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
177,0.6,1422726.315,1423483.15,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
178,2.56,1417409.003,1424064.934,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
179,0.85,1417195.28,1424009.074,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
180,15.68,1413925.0,1424386.064,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
181,0.94,1422399.65,1423410.799,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
182,4.52,1422847.034,1423410.395,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
183,0.94,1422415.275,1423318.255,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
184,0.94,1417096.403,1423884.043,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
185,4.77,1419301.485,1423660.577,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
186,1.36,1417443.571,1423790.572,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
187,0.6,1417098.841,1423666.203,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
188,35.11,1423451.08,1423180.067,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
189,59.05,1417674.102,1423392.475,3136306,JOÃO PINHEIRO,Noroeste,Não encontrado
