INDEX, AREA       , X          , Y          , COD_MUNICIPIO, MUNICIPIO               , MESO                              , MICRO
    4,  9054090.08, 5362120.877, 7828055.827,       3138625, Limeira do Oeste        , Triângulo Mineiro e Alto Paranaíba, FRUTAL
    4,  9054090.08, 5697901.841, 7817664.491,       3149804, Perdizes                , Triângulo Mineiro e Alto Paranaíba, ARAXÁ
    4,  9054090.08, 5345820.546, 7827732.418,       3114550, Carneirinho             , Triângulo Mineiro e Alto Paranaíba, FRUTAL
    4,  9054090.08, 5678204.915, 7817505.9  ,       3156908, Sacramento              , Triângulo Mineiro e Alto Paranaíba, ARAXÁ
    4,  9054090.08, 5345893.257, 7827050.182,       3114550, Carneirinho             , Triângulo Mineiro e Alto Paranaíba, FRUTAL
    4,  9054090.08, 5391236.647, 7824765.483,       3134400, Iturama                 , Triângulo Mineiro e Alto Paranaíba, FRUTAL
    4,  9054090.08, 5388519.727, 7824658.626,       3134400, Iturama                 , Triângulo Mineiro e Alto Paranaíba, FRUTAL
    4,  9054090.08, 5388928.439, 7824411.542,       3134400, Iturama                 , Triângulo Mineiro e Alto Paranaíba, FRUTAL
    4,  9054090.08, 5565445.393, 7818714.017,       3111408, Campo Florido           , Triângulo Mineiro e Alto Paranaíba, UBERABA
    4,  9054090.08, 5603198.794, 7817358.14 ,       3171105, Veríssimo               , Triângulo Mineiro e Alto Paranaíba, UBERABA
    4,  9054090.08, 5373210.951, 7822698.654,       3134400, Iturama                 , Triângulo Mineiro e Alto Paranaíba, FRUTAL
    4,  9054090.08, 5378825.622, 7821310.299,       3134400, Iturama                 , Triângulo Mineiro e Alto Paranaíba, FRUTAL
    4,  9054090.08, 5677349.574, 7812809.068,       3156908, Sacramento              , Triângulo Mineiro e Alto Paranaíba, ARAXÁ
    4,  9054090.08, 5325645.573, 7821507.826,       3114550, Carneirinho             , Triângulo Mineiro e Alto Paranaíba, FRUTAL
    4,  9054090.08, 5457186.693, 7818136.834,       3111101, Campina Verde           , Triângulo Mineiro e Alto Paranaíba, FRUTAL
    4,  9054090.08, 5383754.1  , 7819102.012,       3134400, Iturama                 , Triângulo Mineiro e Alto Paranaíba, FRUTAL
    4,  9054090.08, 5326479.201, 7820334.137,       3114550, Carneirinho             , Triângulo Mineiro e Alto Paranaíba, FRUTAL
    4,  9054090.08, 5468811.04 , 7816803.969,       3133402, Itapagipe               , Triângulo Mineiro e Alto Paranaíba, FRUTAL
    4,  9054090.08, 5383380.412, 7818729.806,       3134400, Iturama                 , Triângulo Mineiro e Alto Paranaíba, FRUTAL
