MUNICIPIO,TOTAL_AREA,COD_MUNICIPIO,MESO,MICRO
Matias Cardoso,231.49,3140852,Montes Claros,Janaúba
Jaíba,7614.7,3135050,Montes Claros,Janaúba
Unaí,2963.69,3170404,Patos de Minas,Unaí
Dom Bosco,0.77,3122470,Patos de Minas,Unaí
Ponto Chique,0.26,3152131,Montes Claros,Pirapora
São João da Lagoa,0.6,3162252,Montes Claros,Montes Claros
Lagoa dos Patos,3.1900000000000004,3137304,Montes Claros,Montes Claros
Paracatu,8444.36,3147006,Patos de Minas,Patos de Minas
Claro dos Poções,2.4,3116506,Montes Claros,Montes Claros
João Pinheiro,16049.18,3136306,Patos de Minas,Patos de Minas
Brasilândia de Minas,1548.6,3108552,Patos de Minas,Patos de Minas
Jequitaí,0.77,3135605,Montes Claros,Montes Claros
Serra dos Aimorés,2.38,3166709,Teófilo Otoni,Teófilo Otoni
Lagoa Grande,0.77,3137536,Patos de Minas,Patos de Minas
Presidente Olegário,1341.19,3153400,Patos de Minas,Patos de Minas
Lagamar,0.26,3137106,Patos de Minas,Patos de Minas
São Gonçalo do Abaeté,102.79,3161700,Patos de Minas,Patos de Minas
Araporã,9912.81,3103751,Uberlândia,Uberlândia
Tupaciguara,9870.53,3169604,Uberlândia,Uberlândia
Varjão de Minas,1123.29,3170750,Patos de Minas,Patos de Minas
Araguari,27.97,3103504,Uberlândia,Uberlândia
Patos de Minas,274.24,3148004,Patos de Minas,Patos de Minas
Centralina,2972.84,3115805,Uberlândia,Uberlândia
Monte Alegre de Minas,11009.42,3142809,Uberlândia,Uberlândia
Morro da Garça,10.18,3143609,Belo Horizonte,Curvelo
Capinópolis,3214.04,3112604,Uberlândia,Ituiutaba
Cascalho Rico,2.62,3115003,Uberlândia,Uberlândia
Felixlândia,1.27,3125705,Belo Horizonte,Curvelo
Canápolis,9692.35,3111804,Uberlândia,Uberlândia
Cachoeira Dourada,1.6099999999999999,3109808,Uberlândia,Ituiutaba
Estrela do Sul,10.26,3124807,Uberlândia,Monte Carmelo
Ipiaçu,3242.79,3131406,Uberlândia,Ituiutaba
Santa Vitória,24693.35,3159803,Uberlândia,Ituiutaba
Uberlândia,13702.34,3170206,Uberlândia,Uberlândia
Ituiutaba,18744.65,3134202,Uberlândia,Ituiutaba
Gurinhatã,9014.86,3129103,Uberlândia,Ituiutaba
Indianópolis,1.1,3130705,Uberlândia,Uberlândia
Paineiras,0.68,3146404,Divinópolis,Abaeté
Pompéu,4192.6,3152006,Divinópolis,Dores do Indaiá
Prata,10138.01,3152808,Uberlândia,Uberlândia
Abaeté,2.11,3100203,Divinópolis,Abaeté
Nova Ponte,8279.55,3145000,Uberaba,Uberaba
Pedrinópolis,415.4,3149200,Uberaba,Araxá
Uberaba,93452.72,3170107,Uberaba,Uberaba
Campina Verde,7590.57,3111101,Uberlândia,Uberlândia
Limeira do Oeste,29618.79,3138625,Uberaba,Iturama
União de Minas,13500.47,3170438,Uberaba,Iturama
Santa Juliana,7702.81,3157708,Uberaba,Uberaba
Perdizes,14145.08,3149804,Uberaba,Araxá
Veríssimo,22035.89,3171105,Uberaba,Uberaba
Sacramento,17486.28,3156908,Uberaba,Uberaba
Papagaios,3.46,3146909,Divinópolis,Pará de Minas
Carneirinho,18048.88,3114550,Uberaba,Iturama
Itapagipe,23307.8,3133402,Uberaba,Frutal
Ibiá,44.56,3129509,Uberaba,Araxá
Comendador Gomes,8791.53,3116902,Uberaba,Frutal
Araxá,1869.01,3104007,Uberaba,Araxá
Estrela do Indaiá,499.51,3124708,Divinópolis,Dores do Indaiá
Campo Florido,39581.07,3111408,Uberaba,Uberaba
Pitangui,4.21,3151404,Divinópolis,Divinópolis
Iturama,36489.0,3134400,Uberaba,Iturama
Maravilhas,5.99,3139706,Divinópolis,Pará de Minas
São Francisco de Sales,16147.04,3161304,Uberaba,Iturama
Bom Despacho,458.75,3107406,Divinópolis,Dores do Indaiá
Leandro Ferreira,2.61,3138302,Divinópolis,Divinópolis
Pratinha,4.380000000000001,3153004,Uberaba,Araxá
Conquista,15501.68,3118205,Uberaba,Uberaba
Luz,5094.44,3138807,Divinópolis,Dores do Indaiá
Conceição das Alagoas,48116.37,3117306,Uberaba,Uberaba
Frutal,73178.93,3127107,Uberaba,Frutal
Moema,51.14,3142403,Divinópolis,Dores do Indaiá
Água Comprida,17533.84,3100708,Uberaba,Uberaba
Lagoa da Prata,2906.68,3137205,Divinópolis,Divinópolis
Tapira,11.95,3168101,Uberaba,Araxá
Delta,4070.84,3121258,Uberaba,Uberaba
Pirajuba,14580.55,3150703,Uberaba,Frutal
Araújos,1.35,3103900,Divinópolis,Divinópolis
Santo Antônio do Monte,90.7,3160405,Divinópolis,Divinópolis
Bambuí,3991.86,3105103,Divinópolis,Formiga
Medeiros,288.15,3141306,Divinópolis,Formiga
Iguatama,1845.35,3130309,Divinópolis,Formiga
Planura,10364.09,3151602,Uberaba,Frutal
São Roque de Minas,16.4,3164308,Varginha,Piumhi
Japaraíba,606.72,3135308,Divinópolis,Divinópolis
Arcos,430.22,3104205,Divinópolis,Formiga
Fronteira,3199.75,3127008,Uberaba,Frutal
Doresópolis,53.53,3123403,Varginha,Piumhi
Delfinópolis,2224.35,3121209,Varginha,Passos
Claraval,13.1,3116407,Varginha,Passos
Ibiraci,24.580000000000002,3129707,Varginha,Passos
Piumhi,8.73,3151503,Varginha,Piumhi
Pains,4.699999999999999,3146503,Divinópolis,Formiga
Cássia,16.87,3115102,Varginha,Passos
Pimenta,1.51,3150505,Divinópolis,Formiga
Itapecerica,3.3600000000000003,3133501,Divinópolis,Divinópolis
Córrego Fundo,0.84,3119955,Divinópolis,Formiga
Passos,5710.2,3147907,Varginha,Passos
São João Batista do Glória,336.21999999999997,3162203,Varginha,Passos
Capetinga,61.55,3112406,Varginha,Passos
Camacho,0.75,3110400,Divinópolis,Divinópolis
Passa Tempo,1.43,3147709,Divinópolis,Oliveira
Itaú de Minas,10.33,3133758,Varginha,Passos
Alpinópolis,180.42000000000002,3101904,Varginha,Passos
Pratápolis,11.459999999999999,3152907,Varginha,Passos
São Tomás de Aquino,1816.2,3165107,Varginha,São Sebastião do Paraíso
São José da Barra,98.31,3162948,Varginha,Passos
Cristais,13.4,3120201,Varginha,Campo Belo
Candeias,1.92,3112000,Varginha,Campo Belo
São Sebastião do Paraíso,2528.42,3164704,Varginha,São Sebastião do Paraíso
Fortaleza de Minas,8.11,3126307,Varginha,Passos
Oliveira,3.01,3145604,Divinópolis,Oliveira
Carmo do Rio Claro,345.07,3114402,Varginha,Passos
Itamogi,341.58000000000004,3132909,Varginha,São Sebastião do Paraíso
Jacuí,12.8,3134806,Varginha,São Sebastião do Paraíso
Cana Verde,3.01,3111903,Varginha,Lavras
Perdões,1.0,3149903,Varginha,Lavras
Monte Santo de Minas,1412.24,3143203,Varginha,São Sebastião do Paraíso
São Pedro da União,11.790000000000001,3163904,Varginha,Guaxupé
Campo do Meio,1.75,3111309,Varginha,Alfenas
Alterosa,183.98,3102001,Varginha,Alfenas
Guaranésia,1413.84,3128303,Varginha,Guaxupé
Guaxupé,418.35,3128709,Varginha,Guaxupé
Alfenas,2387.98,3101607,Varginha,Alfenas
Juruaia,69.11,3136900,Varginha,Guaxupé
Monte Belo,2148.9,3143005,Varginha,Guaxupé
Areado,1288.26,3104304,Varginha,Alfenas
Arceburgo,631.72,3104106,Varginha,Guaxupé
Cabo Verde,151.28,3109501,Varginha,Guaxupé
Divisa Nova,515.73,3122405,Varginha,Alfenas
Serrania,437.96999999999997,3166907,Varginha,Alfenas
Machado,322.38,3139003,Varginha,Alfenas
Campestre,0.58,3111002,Pouso Alegre,Poços de Caldas
São João da Mata,0.5,3162302,Pouso Alegre,Pouso Alegre
São Gonçalo do Sapucaí,0.83,3162005,Varginha,Varginha
Careaçu,0.75,3113602,Pouso Alegre,Pouso Alegre
Santa Rita do Sapucaí,2.82,3159605,Pouso Alegre,Pouso Alegre
Ouro Fino,104.95,3146008,Pouso Alegre,Pouso Alegre
Pedralva,2.32,3149101,Pouso Alegre,Itajubá
Jacutinga,65.29,3134905,Pouso Alegre,Pouso Alegre
Piranguinho,3.49,3151008,Pouso Alegre,Itajubá
Maria da Fé,1.19,3139904,Pouso Alegre,Itajubá
Monte Sião,8.540000000000001,3143401,Pouso Alegre,Pouso Alegre
Bueno Brandão,2.4000000000000004,3109105,Pouso Alegre,Pouso Alegre
Estiva,2.56,3124500,Pouso Alegre,Pouso Alegre
Conceição dos Ouros,11.08,3117801,Pouso Alegre,Pouso Alegre
Bom Repouso,0.58,3107901,Pouso Alegre,Pouso Alegre
Paraisópolis,4.22,3147303,Pouso Alegre,Itajubá
Consolação,0.5,3118502,Pouso Alegre,Pouso Alegre
Cambuí,1.08,3110608,Pouso Alegre,Pouso Alegre
Munhoz,0.66,3143807,Pouso Alegre,Pouso Alegre
Itapeva,0.66,3133600,Pouso Alegre,Pouso Alegre
Toledo,0.5,3169109,Pouso Alegre,Pouso Alegre
Sapucaí-Mirim,0.83,3165404,Pouso Alegre,Itajubá
