INDEX,AREA,X,Y,COD_MUNICIPIO,MUNICIPIO,MESO,MICRO
24041,3.951,-49.159,-20.15,3127107,Frutal,Sudeste,Frutal
24042,967.684,-48.812,-20.123,3127107,Frutal,Sudeste,Frutal
24043,79.775,-49.146,-20.145,3127107,Frutal,Sudeste,Frutal
24044,0.757,-48.942,-20.151,3127107,Frutal,Sudeste,Frutal
24045,0.504,-45.827,-20.151,3130309,Iguatama,Sudeste,Formiga
24046,2.101,-45.724,-20.151,3130309,Iguatama,Sudeste,Formiga
24047,1.177,-45.577,-20.151,3135308,Japaraíba,Sudeste,Divinópolis
24048,183.185,-45.615,-20.133,3104205,Arcos,Sudeste,Formiga
24049,2.522,-45.516,-20.151,3135308,Japaraíba,Sudeste,Divinópolis
24050,3.951,-49.235,-20.149,3127107,Frutal,Sudeste,Frutal
24051,1.261,-49.165,-20.152,3127107,Frutal,Sudeste,Frutal
24052,6.893,-49.233,-20.151,3127107,Frutal,Sudeste,Frutal
24053,6.977,-49.137,-20.151,3127008,Fronteira,Sudeste,Frutal
24054,24.63,-48.888,-20.148,3127107,Frutal,Sudeste,Frutal
24055,2.774,-45.575,-20.152,3135308,Japaraíba,Sudeste,Divinópolis
24056,2.017,-49.13,-20.153,3127008,Fronteira,Sudeste,Frutal
24057,135.004,-45.567,-20.144,3135308,Japaraíba,Sudeste,Divinópolis
24058,3.026,-48.886,-20.153,3127107,Frutal,Sudeste,Frutal
24059,1.009,-48.882,-20.153,3127107,Frutal,Sudeste,Frutal
24060,0.588,-45.727,-20.154,3130309,Iguatama,Sudeste,Formiga
24061,4.875,-49.115,-20.153,3127008,Fronteira,Sudeste,Frutal
24062,7.061,-49.242,-20.153,3127107,Frutal,Sudeste,Frutal
24063,8.994,-45.562,-20.152,3135308,Japaraíba,Sudeste,Divinópolis
24064,20.006,-48.661,-20.152,3151602,Planura,Sudeste,Frutal
24065,109.028,-49.152,-20.145,3127107,Frutal,Sudeste,Frutal
24066,0.757,-49.151,-20.155,3127107,Frutal,Sudeste,Frutal
24067,0.504,-49.269,-20.155,3127107,Frutal,Sudeste,Frutal
24068,47.661,-49.29,-20.154,3127107,Frutal,Sudeste,Frutal
24069,14.038,-46.024,-20.154,3105103,Bambuí,Sudeste,Formiga
24070,3.026,-49.267,-20.155,3127107,Frutal,Sudeste,Frutal
24071,1.093,-49.242,-20.155,3127107,Frutal,Sudeste,Frutal
24072,4.455,-49.141,-20.154,3127008,Fronteira,Sudeste,Frutal
24073,1.597,-49.207,-20.155,3127107,Frutal,Sudeste,Frutal
24074,2.69,-49.276,-20.155,3127107,Frutal,Sudeste,Frutal
24075,1.261,-49.271,-20.155,3127107,Frutal,Sudeste,Frutal
24076,3.698,-48.885,-20.155,3127107,Frutal,Sudeste,Frutal
24077,1.429,-49.246,-20.155,3127107,Frutal,Sudeste,Frutal
24078,3.362,-49.233,-20.154,3127107,Frutal,Sudeste,Frutal
24079,41.608,-48.67,-20.154,3151602,Planura,Sudeste,Frutal
24080,0.672,-48.888,-20.156,3127107,Frutal,Sudeste,Frutal
24081,62.876,-45.556,-20.152,3135308,Japaraíba,Sudeste,Divinópolis
24082,0.672,-47.109,-20.157,3156908,Sacramento,Sudeste,Uberaba
24083,145.844,-49.214,-20.148,3127107,Frutal,Sudeste,Frutal
24084,2.858,-49.27,-20.157,3127107,Frutal,Sudeste,Frutal
24085,6.304,-45.574,-20.157,3135308,Japaraíba,Sudeste,Divinópolis
24086,0.504,-48.977,-20.158,3127107,Frutal,Sudeste,Frutal
24087,0.168,-48.942,-20.158,3127107,Frutal,Sudeste,Frutal
24088,6.22,-45.518,-20.157,3135308,Japaraíba,Sudeste,Divinópolis
24089,3.026,-49.28,-20.157,3127107,Frutal,Sudeste,Frutal
24090,0.504,-49.183,-20.158,3127107,Frutal,Sudeste,Frutal
24091,0.504,-49.128,-20.158,3127008,Fronteira,Sudeste,Frutal
24092,5.211,-48.939,-20.157,3127107,Frutal,Sudeste,Frutal
24093,21.098,-46.083,-20.155,3105103,Bambuí,Sudeste,Formiga
24094,0.504,-49.269,-20.158,3127107,Frutal,Sudeste,Frutal
24095,0.504,-49.241,-20.158,3127107,Frutal,Sudeste,Frutal
24096,210.569,-49.098,-20.15,3127008,Fronteira,Sudeste,Frutal
24097,4.119,-49.145,-20.158,3127008,Fronteira,Sudeste,Frutal
24098,0.925,-49.127,-20.158,3127008,Fronteira,Sudeste,Frutal
24099,409.127,-49.254,-20.146,3127107,Frutal,Sudeste,Frutal
24100,0.504,-49.276,-20.159,3127107,Frutal,Sudeste,Frutal
24101,1.597,-49.143,-20.158,3127008,Fronteira,Sudeste,Frutal
24102,0.42,-46.084,-20.159,3105103,Bambuí,Sudeste,Formiga
24103,2.354,-45.639,-20.158,3104205,Arcos,Sudeste,Formiga
24104,1.933,-45.521,-20.158,3135308,Japaraíba,Sudeste,Divinópolis
24105,23.872,-48.945,-20.154,3127107,Frutal,Sudeste,Frutal
24106,3.194,-49.273,-20.158,3127107,Frutal,Sudeste,Frutal
24107,0.672,-49.188,-20.16,3127107,Frutal,Sudeste,Frutal
24108,2.942,-46.07,-20.159,3105103,Bambuí,Sudeste,Formiga
24109,1.933,-49.177,-20.159,3127107,Frutal,Sudeste,Frutal
24110,3.278,-49.135,-20.159,3127008,Fronteira,Sudeste,Frutal
24111,0.588,-45.623,-20.16,3104205,Arcos,Sudeste,Formiga
24112,2.69,-49.228,-20.159,3127107,Frutal,Sudeste,Frutal
24113,0.504,-49.185,-20.16,3127107,Frutal,Sudeste,Frutal
24114,1.345,-49.122,-20.16,3127008,Fronteira,Sudeste,Frutal
